tour_id|readcount_score|congestion_score|star_score|corona_score|senti|senti_count|senti_sum|senti_avg
3414|6.0000000000000015e-05|0.5625|3.582|0.036325678496868484|[['강추', 2], ['맛', 2], ['최고', 2], ['친절', 2], ['칭찬', 2], ['유명', 1], ['친구', 1], ['찌꺼기', -1], ['거짓말', -2], ['실망', -2], ['최악', -2], ['환상', -2]]|12.0|3.0|0.25
3415|0.32091000000000003|0.557225|0.0|0.036325678496868484||||
3416|0.16659000000000002|0.3625|0.0|0.036325678496868484||||
3417|0.16755|0.515625|0.0|0.036325678496868484||||
3418|0.0|0.551675|3.818|0.036325678496868484|[['장점', 2], ['최고', 2], ['친절', 2], ['정', 1], ['못', 0], ['아쉬움', -1], ['후회', -2]]|7.0|4.0|0.5714285714285714
3419|0.02838|0.4853|4.667|0.036325678496868484|[['최고', 2], ['친절', 2]]|2.0|4.0|2.0
3420|0.00012000000000000003|0.59895|2.641|0.036325678496868484|[['맛', 2], ['최고', 2], ['인정', 1], ['부족', -1], ['포기', -1], ['불편', -2], ['해', -2]]|7.0|-1.0|-0.14285714285714285
3421|7.000000000000001e-05|0.5303|2.727|0.036325678496868484|[['친절', 2], ['대접', 1]]|2.0|3.0|1.5
3422|0.0|0.277775|0.0|0.036325678496868484||||
3423|9e-05|0.511725|3.6|0.036325678496868484|[['최고', 2], ['친절', 2]]|2.0|4.0|2.0
3424|9e-05|0.51705|0.0|0.036325678496868484||||
3425|0.32465000000000005|0.397725|3.333|0.036325678496868484|[['운', 1]]|1.0|1.0|1.0
3426|0.17793|0.414175|0.0|0.036325678496868484||||
3427|6.0000000000000015e-05|0.55|0.0|0.036325678496868484||||
3428|9e-05|0.5771|1.588|0.036325678496868484|[['맛', 2], ['ㄲ', -1], ['실망', -2]]|3.0|-1.0|-0.3333333333333333
3429|0.34465|0.555075|5.0|0.036325678496868484|[['최고', 2]]|1.0|2.0|2.0
3430|0.4302900000000001|0.38195|5.0|0.036325678496868484|[['최고', 2]]|1.0|2.0|2.0
3431|9e-05|0.576075|0.0|0.036325678496868484||||
3432|0.020370000000000003|0.5445|0.0|0.036325678496868484||||
