,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
309,0,0,0,0,0,0,0,0,0,0,0,0
310,7,26,8,5,100,15,13,10,8,10,13,17
311,73,100,85,50,38,44,55,51,55,48,78,60
312,73,64,55,60,91,100,97,72,75,45,81,100
313,70,48,72,58,49,65,85,50,100,70,97,48
314,58,36,38,57,53,81,89,79,100,82,77,93
315,68,64,69,66,73,77,96,100,80,74,79,73
316,0,0,0,0,0,0,0,0,0,100,0,0
317,68,84,75,53,43,50,54,53,80,100,48,51
318,34,37,42,43,60,62,100,54,56,61,54,53
319,100,21,8,0,6,18,0,4,38,16,22,23
320,69,91,70,62,70,73,100,65,90,86,69,77
321,89,93,91,73,67,78,100,85,95,83,65,81
322,68,88,61,45,43,69,100,93,77,71,62,73
323,0,0,0,0,100,0,0,0,0,0,0,0
324,73,100,19,73,19,0,19,0,50,0,0,38
325,60,55,63,43,48,59,100,86,87,57,82,74
326,57,56,54,41,36,43,46,45,47,100,38,44
327,62,60,56,44,40,46,49,49,52,100,42,47
328,57,56,54,41,36,43,46,45,47,100,38,44
329,57,56,54,41,36,43,46,45,47,100,38,44
330,57,56,54,41,36,43,46,45,47,100,38,44
331,57,56,54,41,36,43,46,45,47,100,38,44
332,57,56,54,41,36,43,46,45,47,100,38,44
333,57,56,54,41,36,43,46,45,47,100,38,44
334,53,53,50,39,34,40,43,42,44,100,35,41
335,32,33,33,17,11,16,19,14,18,100,12,17
336,88,100,0,63,0,0,0,0,0,0,63,0
337,100,87,94,74,70,67,77,87,98,80,64,75
338,34,46,100,11,5,13,15,7,23,6,3,13
339,67,61,80,49,66,92,69,52,59,47,66,100
340,69,61,79,52,62,85,69,55,63,55,64,100
341,69,63,79,52,70,95,77,60,68,54,73,100
342,100,96,81,12,5,10,6,4,12,12,2,9
343,51,35,44,26,36,94,75,53,61,40,39,100
344,95,57,100,32,27,38,46,29,34,29,41,75
345,61,32,31,27,71,100,72,48,54,51,72,83
346,0,0,100,50,50,0,0,0,70,0,0,0
347,24,23,27,20,24,42,23,18,21,20,100,31
348,24,23,27,20,24,42,23,18,21,20,100,31
349,94,87,85,72,82,79,100,81,81,80,78,77
350,100,40,50,79,23,73,39,45,60,32,38,45
351,55,15,31,100,0,0,6,7,17,11,0,6
352,100,71,85,52,49,46,57,53,50,48,31,48
353,50,51,47,46,46,54,73,64,100,77,56,68
354,28,47,52,63,70,71,83,81,100,52,97,40
355,82,100,71,34,24,18,16,14,15,13,16,39
356,73,73,84,80,98,100,88,83,77,73,82,76
357,25,11,13,11,19,25,29,41,49,100,24,33
358,71,100,71,44,33,54,47,72,81,45,43,66
359,67,62,100,93,81,77,69,65,71,59,63,69
360,81,100,67,56,38,50,60,60,56,49,43,56
361,100,90,70,40,59,61,72,100,84,66,74,100
362,100,77,67,56,39,60,59,66,91,66,27,70
363,71,92,77,92,95,88,71,62,60,70,100,81
364,50,45,100,81,18,21,17,10,15,45,30,11
365,81,94,93,58,51,50,53,65,100,88,58,65
366,100,75,51,14,5,26,31,31,38,52,57,50
367,73,77,84,86,97,100,96,95,98,92,92,80
368,100,86,77,35,23,21,28,28,20,24,13,39
369,62,100,83,50,28,36,70,63,58,47,38,50
370,49,28,23,22,11,27,62,44,100,56,23,25
