,tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
1736,1737,5,37,83,24,2.8456,3,149,2020/10/14 14:28
1737,1738,38,45,73,17,2.3988,3,173,2020/10/14 14:28
1738,1739,17,23,31,8,2.3797,3,79,2020/10/14 14:28
1739,1740,25,21,22,7,2.1467,1,75,2020/10/14 14:28
1740,1741,8,46,92,25,2.7836,3,171,2020/10/14 14:28
1741,1742,7,47,94,21,2.7633,3,169,2020/10/14 14:28
1742,1743,8,48,102,30,2.8191,3,188,2020/10/14 14:28
1743,1744,7,46,87,21,2.7578,3,161,2020/10/14 14:28
1744,1745,7,45,95,28,2.8229,3,175,2020/10/14 14:28
1745,1746,7,45,87,23,2.7778,3,162,2020/10/14 14:28
1746,1747,7,45,95,28,2.8229,3,175,2020/10/14 14:28
1747,1748,2,33,44,8,2.6667,3,87,2020/10/14 14:28
1748,1749,7,47,90,21,2.7576,3,165,2020/10/14 14:28
1749,1750,16,8,22,3,2.2449,3,49,2020/10/14 14:28
1750,1751,16,28,42,10,2.4792,3,96,2020/10/14 14:28
1751,1752,4,30,36,6,2.5789,3,76,2020/10/14 14:28
1752,1753,6,30,82,30,2.9189,3,148,2020/10/14 14:28
1753,1754,17,26,45,18,2.6038,3,106,2020/10/14 14:28
1754,1755,17,24,71,27,2.777,3,139,2020/10/14 14:28
1755,1756,5,3,2,0,1.7,1,10,2020/10/14 14:28
1756,1757,21,39,96,29,2.7189,3,185,2020/10/14 14:28
1757,1758,29,54,100,29,2.6085,3,212,2020/10/14 14:28
1758,1759,20,60,37,8,2.264,2,125,2020/10/14 14:28
1759,1760,13,35,92,26,2.7892,3,166,2020/10/14 14:28
1760,1761,5,40,80,22,2.8095,3,147,2020/10/14 14:28
1761,1762,0,0,0,0,0.0,0,0,
1762,1763,13,24,55,8,2.58,3,100,2020/10/14 14:28
1763,1764,3,19,27,3,2.5769,3,52,2020/10/14 14:28
1764,1765,20,26,43,14,2.4951,3,103,2020/10/14 14:28
1765,1766,9,16,21,1,2.2979,3,47,2020/10/14 14:28
